34,211,274,220,264,392,24,394
276,220,502,203,514,382,264,391
504,202,730,198,749,383,514,382
730,203,967,193,989,376,749,383
970,191,1200,187,1236,374,989,374
1200,187,1426,185,1474,364,1234,374
1426,182,1658,178,1706,358,1476,362
1656,175,1884,175,1918,333,1704,358
10,646,0,806,259,810,259,635
259,634,523,639,521,794,259,794
518,637,773,632,792,790,523,796
770,630,1027,625,1046,776,790,790
1027,630,1282,616,1306,765,1042,776
1282,617,1531,610,1565,749,1308,765
1536,607,1783,601,1824,722,1565,749
